cv	end	hash	start	dataset	estimator	estimator	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results
fold				name	call	name	LL_average_precision	LL_balanced_accuracy	LL_f1	LL_f1_weighted	LL_matthews_corrcoef	LL_roc_auc	LT_average_precision	LT_balanced_accuracy	LT_f1	LT_f1_weighted	LT_matthews_corrcoef	LT_roc_auc	TL_average_precision	TL_balanced_accuracy	TL_f1	TL_f1_weighted	TL_matthews_corrcoef	TL_roc_auc	TT_average_precision	TT_balanced_accuracy	TT_f1	TT_f1_weighted	TT_matthews_corrcoef	TT_roc_auc	fit_time	score_time
0	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	0.9677958564230291	0.8746458923512748	0.3789473684210526	0.8227359897720009	0.4185201530415169	0.9979933899905571	0.2631470974971351	0.6958831341301461	0.2127659574468085	0.7961845739384895	0.19777672501507457	0.7288180610889774	0.336436072165279	0.6077184054283291	0.18604651162790695	0.8094887645962123	0.1232209131598738	0.7715224766751485	0.051992753623188406	0.42105263157894735	0.0	0.8713597798670029	-0.07554494477488186	0.631578947368421	24.30498766899109	0.06553912162780762
1	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	1.0	0.8379888268156425	0.27499999999999997	0.7758859649122807	0.32827511857807806	1.0	0.4189007652765476	0.7615767634854772	0.33082706766917297	0.7350142272975674	0.31086173169712394	0.84	0.41433899806575447	0.6888504753673292	0.16981132075471697	0.7766222971609058	0.16873808161825443	0.7124747911264766	0.4026423603629486	0.7083333333333333	0.27272727272727276	0.7472903036812812	0.23665076426961032	0.8027777777777777	24.680884838104248	0.08200788497924805
2	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	1.0	0.9172413793103449	0.4736842105263158	0.879544818400301	0.5088982293620211	1.0	0.32119813943603387	0.7073275862068966	0.26865671641791045	0.8478012142777188	0.24291690079048672	0.8132183908045977	0.6448415729724507	0.782051282051282	0.3076923076923077	0.8821328654574139	0.31787935682259316	0.8880167451596024	0.1199559361487599	0.45833333333333337	0.07407407407407408	0.7798915540851024	-0.053624498640640866	0.6632653061224489	24.40193748474121	0.06307458877563477
3	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	0.9790838952143007	0.8798342541436464	0.3873239436619718	0.8298081595697846	0.4271453326189703	0.9986815670517328	0.31631299769821136	0.7447884733292458	0.23404255319148937	0.7867878370229995	0.24191327933081241	0.8019619865113427	0.4281212160103869	0.6865964477488642	0.23655913978494625	0.8137672606594714	0.20594307727991656	0.702912019826518	0.25656565656565655	0.7481060606060606	0.2	0.8781169447836115	0.22731547991199702	0.875	25.03884506225586	0.09672975540161133
4	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	0.9502810489299827	0.8567454798331016	0.28472222222222227	0.8032252743601427	0.3441420085514926	0.9967773669391771	0.24776644342681511	0.6066272965879265	0.12389380530973453	0.7348586686264947	0.09120175935775177	0.7270341207349081	0.22740063112101716	0.5630910739733126	0.22222222222222218	0.7312139453222973	0.08582787219434927	0.5767586474931986	0.0728869160396254	0.5090579710144928	0.1081081081081081	0.7505541737347668	0.00933925455446284	0.5471014492753623	24.861778736114502	0.050209999084472656
5	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	1.0	0.8259972489683631	0.20689655172413793	0.7640518110286194	0.27428112289640816	1.0	0.2517709313530679	0.6548780487804877	0.2153846153846154	0.7063525633831996	0.16586080690116284	0.6044715447154472	0.18107459473541815	0.48958333333333337	0.12612612612612611	0.7275782304735534	-0.0126021918062739	0.5517578125	0.15246583601670832	0.530316742081448	0.2105263157894737	0.7305877714176943	0.047180466348737994	0.5176470588235293	25.049022436141968	0.07762908935546875
6	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	1.0	0.9315718157181572	0.44808743169398907	0.9013634533427459	0.4992169141631135	1.0	0.1488268323819819	0.6062056737588652	0.15384615384615385	0.8369147721374441	0.11124063734673571	0.7368794326241135	0.39124277080528574	0.6842592592592592	0.3499999999999999	0.8434898221162662	0.27725667403480087	0.747008547008547	0.3386566129948483	0.7512345679012346	0.42424242424242425	0.823225991011226	0.3616042493749041	0.7469135802469136	25.570239543914795	0.06142735481262207
7	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	0.9710999424765937	0.8598639455782313	0.29931972789115646	0.806654269091332	0.35591025391738496	0.9978354978354979	0.2471544763993903	0.7889822595704948	0.17582417582417584	0.7906462089562519	0.22996514320152384	0.8501400560224089	0.24080110784192593	0.5210505212510024	0.1732283464566929	0.7052947568000227	0.026758253384400025	0.5560010692328256	0.12034529162598188	0.47816265060240964	0.08695652173913045	0.7992680002524137	-0.033332012233385	0.6310240963855422	24.70792865753174	0.06020927429199219
8	2023-05-12 18:21:32.488767	878c2ebb70473b8a12bfe2a8721d315cb920e48b8a38930ddb2b83108fabd790	2023-05-12 18:21:04.856266	nuclear_receptors	y_reconstruction.estimators.nrlmf_regressor	nrlmf	0.9717452123312409	0.9035087719298245	0.4521072796934866	0.8606730089647734	0.4855028784556374	0.9977126649740388	0.36120091059616266	0.7139303482587065	0.1904761904761905	0.8285714285714286	0.1982725071036857	0.7761194029850746	0.039768870520447114	0.35462555066079293	0.0	0.7594970906068162	-0.14738595206727834	0.31751948492036597	0.07478453227389463	0.46153846153846156	0.1	0.6745535714285714	-0.040360367639778745	0.48290598290598286	27.545979022979736	0.03594398498535156
