dataset	brf_gmo	brf_gmosa	brf_gso	brf_lmo	bxt_gmo	bxt_gmo__25	bxt_gmosa	bxt_gmosa_1k	bxt_gso	bxt_gso_1k	bxt_lmo	bxt_lso	nrlmf
davis	1	1	1	1	1	0	1	2	2	2	1	1	1
enzymes	1	1	1	1	1	0	1	1	2	1	1	1	1
ern	1	1	1	1	1	0	1	2	2	1	1	1	1
gpcr	1	1	1	1	1	0	1	2	2	2	1	1	1
ion_channels	1	1	1	1	1	0	1	2	2	2	1	1	1
kiba	1	1	1	1	0	1	1	1	1	1	1	1	1
lncrna	1	1	1	1	1	0	1	1	1	1	1	1	1
mirna	1	1	1	1	0	1	1	1	1	1	1	0	1
nuclear_receptors	1	1	1	1	1	0	1	2	2	2	1	1	1
srn	1	1	1	1	1	0	1	1	2	1	1	1	1
